t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
5.6248,0.061348,0.018923,-0.064981,0.171426,0.055458,-0.113518,-0.104658,-0.042274,0.048510
5.6582,0.061487,0.018972,-0.064985,0.171350,0.055537,-0.113409,-0.104524,-0.042295,0.048535
5.6914,0.061487,0.018972,-0.064985,0.171368,0.055562,-0.113420,-0.104524,-0.042295,0.048535
5.7247,0.061487,0.018972,-0.064985,0.171391,0.055595,-0.113434,-0.104524,-0.042295,0.048535
5.7581,0.061210,0.018082,-0.064795,0.170644,0.055438,-0.113323,-0.104577,-0.042344,0.048566
5.7914,0.061210,0.018082,-0.064795,0.170660,0.055455,-0.113323,-0.104577,-0.042344,0.048566
5.8247,0.061223,0.018172,-0.064749,0.171092,0.055423,-0.113113,-0.104499,-0.042404,0.048539
5.8581,0.061223,0.018172,-0.064749,0.171113,0.055400,-0.113109,-0.104499,-0.042404,0.048539
5.8914,0.060515,0.018196,-0.064723,0.170975,0.056067,-0.113242,-0.104499,-0.042249,0.048466
5.9248,0.060515,0.018196,-0.064723,0.170980,0.056073,-0.113254,-0.104499,-0.042249,0.048466
5.9581,0.062281,0.012524,-0.062212,0.170844,0.050244,-0.111370,-0.102561,-0.047715,0.050767
5.9915,0.062281,0.012524,-0.062212,0.171007,0.049582,-0.111095,-0.102561,-0.047715,0.050767
6.0247,0.060854,0.017059,-0.063718,0.169340,0.054022,-0.111731,-0.104292,-0.043987,0.049389
6.0582,0.060854,0.017059,-0.063718,0.169333,0.053650,-0.111523,-0.104292,-0.043987,0.049389
6.0914,0.060600,0.011803,-0.062213,0.170143,0.052536,-0.111401,-0.104619,-0.043116,0.048971
6.1247,0.060600,0.011803,-0.062213,0.170095,0.052374,-0.111299,-0.104619,-0.043116,0.048971
6.1581,0.059226,0.015718,-0.062626,0.168338,0.061380,-0.114405,-0.104461,-0.043015,0.048946
6.1915,0.059226,0.015718,-0.062626,0.168139,0.062089,-0.114681,-0.104461,-0.043015,0.048946
6.2248,0.060076,0.014231,-0.062377,0.169953,0.056279,-0.113373,-0.104391,-0.043017,0.048861
6.2581,0.060076,0.014231,-0.062377,0.169958,0.056414,-0.113451,-0.104391,-0.043017,0.048861
6.2914,0.058082,0.023136,-0.065300,0.169252,0.055334,-0.112769,-0.104372,-0.043477,0.049016
